SKU;NOMBRE; PRECIO ;FABRICANTE;CATEGORIA-LINEA;SUB-CATEGORIA;DESCRIPCION CORTA;DESCRIPCION LARGA;META TAGS;FICHA TECNICA;IMPUESTO;NOMBRE IMÁGENES DEL PRODUCTO;;;RUTA DE LAS IMAGENES;;;INVENTARIO
037;CREMA FACIAL ROSE SKIN REJUVENATION 140gr                   ; $ 14.300 ;NEVADA GROUP                  ;FACIAL;CREMAS;CREMA FACIAL DE ROSE/ROSA X 140 ( NV)             ;;CREMAS;;IVA 19%;CREMA FACIAL ROSE SKIN REJUVENATION 140gr                   ;CREMA FACIAL ROSE SKIN REJUVENATION 140gr                   ;CREMA FACIAL ROSE SKIN REJUVENATION 140gr                   ;;;;
038;CREMA HIDRATANTE FACIAL DE COLÁGENO Y ELASTINA 283gr                       ; $ 21.500 ;NEVADA GROUP                  ;FACIAL;CREMAS;CREMA FACIAL COLAGENO-ELASTINA 283GR              ;;CREMAS;;IVA 19%;CREMA HIDRATANTE FACIAL DE COLÁGENO Y ELASTINA 283gr                       ;CREMA HIDRATANTE FACIAL DE COLÁGENO Y ELASTINA 283gr                       ;CREMA HIDRATANTE FACIAL DE COLÁGENO Y ELASTINA 283gr                       ;;;;
039;CREMA HIDRATANTE NUTRITIVA AZUCENAS Y SAUCO 60gr               ; $ 22.300 ;NATURAL CONEXION              ;FACIAL;CREMAS;CREMA FACIAL ACLARADORA AZUENA SAUCO X 60 ML (NC) ;;CREMAS;;IVA 19%;CREMA HIDRATANTE NUTRITIVA AZUCENAS Y SAUCO 60gr               ;CREMA HIDRATANTE NUTRITIVA AZUCENAS Y SAUCO 60gr               ;CREMA HIDRATANTE NUTRITIVA AZUCENAS Y SAUCO 60gr               ;;;;
040;CREMA HIDRATANTE NUTRITIVA CALÉNDULA Y MANZANILLA 60gr                ; $ 20.400 ;NATURAL CONEXION              ;FACIAL;CREMAS;CREMA FACIAL CALENDULA Y MANZANILLA (NX)          ;;CREMAS;;IVA 19%;CREMA HIDRATANTE NUTRITIVA CALÉNDULA Y MANZANILLA 60gr                ;CREMA HIDRATANTE NUTRITIVA CALÉNDULA Y MANZANILLA 60gr                ;CREMA HIDRATANTE NUTRITIVA CALÉNDULA Y MANZANILLA 60gr                ;;;;
041;CREMA HIDRATANTE NUTRITIVA SEBO DE CORDERO COCO Y ALMENDRAS 60gr                       ; $ 20.400 ;NATURAL CONEXION              ;CORPORAL;CREMAS;CREMA CUIDADO CORPORAL SEBO CORDERO               ;;CREMAS;;IVA 19%;CREMA HIDRATANTE NUTRITIVA SEBO DE CORDERO COCO Y ALMENDRAS 60gr                       ;CREMA HIDRATANTE NUTRITIVA SEBO DE CORDERO COCO Y ALMENDRAS 60gr                       ;CREMA HIDRATANTE NUTRITIVA SEBO DE CORDERO COCO Y ALMENDRAS 60gr                       ;;;;
042;CREMA HUMECTANTE FRUTAL 1000ml                        ; $ 17.300 ;HERBACOL                      ;CORPORAL;CREMAS;CREMA HUMENTANTE FRUTAL X 1000 (HB)               ;;CREMAS;;IVA 19%;CREMA HUMECTANTE FRUTAL 1000ml                        ;CREMA HUMECTANTE FRUTAL 1000ml                        ;CREMA HUMECTANTE FRUTAL 1000ml                        ;;;;
043;CREMA HUMECTANTE FRUTAL 120ml                       ; $ 5.200 ;HERBACOL                      ;CORPORAL;CREMAS;CREMA HUMENTANTE FRUTAL X 120 (HB)                ;;CREMAS;;IVA 19%;CREMA HUMECTANTE FRUTAL 120ml                       ;CREMA HUMECTANTE FRUTAL 120ml                       ;CREMA HUMECTANTE FRUTAL 120ml                       ;;;;
044;CREMA PARA MANOS ALOE VERA 80ml                        ; $ 4.500 ;NEVADA GROUP                  ;CORPORAL;CREMAS;CREMA PARA MANOS ALOE VERA 80ML (NV)              ;;CREMAS;;IVA 19%;CREMA PARA MANOS ALOE VERA 80ml                        ;CREMA PARA MANOS ALOE VERA 80ml                        ;CREMA PARA MANOS ALOE VERA 80ml                        ;;;;
045;CREMA PARA MANOS ROSA MOSQUETA 80ml                 ; $ 4.500 ;NEVADA GROUP                  ;CORPORAL;CREMAS;CREMA PARA MANOS ROSA MOSQUETA 80 (NV)            ;;CREMAS;;IVA 19%;CREMA PARA MANOS ROSA MOSQUETA 80ml                 ;CREMA PARA MANOS ROSA MOSQUETA 80ml                 ;CREMA PARA MANOS ROSA MOSQUETA 80ml                 ;;;;
046;CREMA REJUVENECEDORA FACIAL DE BOTOX 283gr                              ; $ 31.200 ;NEVADA GROUP                  ;FACIAL;CREMAS;CREMA FACIAL BOTOX 283 GR (NV)                    ;;CREMAS;;IVA 19%;CREMA REJUVENECEDORA FACIAL DE BOTOX 283gr                              ;CREMA REJUVENECEDORA FACIAL DE BOTOX 283gr                              ;CREMA REJUVENECEDORA FACIAL DE BOTOX 283gr                              ;;;;
